Source,Fat,SNF,Lactose,Protein,Density,pH,AddedWater,FreezingPoint,Conductivity,AntibioticPresence,Classification
Cow,4.198685661204493,8.775147855103762,4.534200997815586,3.2874641805453653,1030.5139772332907,6.461515013083364,0.8762921736478159,-0.48849478254749473,4.0831282599709215,0,Standard
Cow,3.944694279531526,8.803934462849092,4.587963791960607,3.4910284641002476,1027.1556693516447,6.3972473091575495,8.517837110792861,-0.5437837563617914,4.006380375912933,0,Fermented
Cow,4.259075415240277,8.495992583526451,4.849458721024653,3.102854790732891,1030.7392118402113,6.4536190120534,8.92295148506112,-0.49528072393669503,4.806771129602892,0,Standard
Cow,4.60921194256321,8.7696761091483,4.822074053086693,3.4008093031035687,1031.7112757176099,6.758046269491175,3.540976526547985,-0.5260417843307471,5.231925721901781,0,Standard
Cow,3.9063386501106656,8.787921741989603,4.695819681207171,3.1939484763255117,1029.8268698064473,6.4575901666752085,0.032031743087075834,-0.5430283600722889,4.915281845553156,0,Standard
Cow,3.906345217220328,8.485694574592088,4.723465476661756,3.141425433547531,1032.753591625116,6.994857309725608,1.6916367135592756,-0.5396777166810864,4.669172736015708,0,Standard
Cow,4.631685126202957,9.259732353343427,4.955532979157685,3.278593928009088,1027.4524216017928,6.673997685132133,4.797647471818692,-0.5364069461638864,4.678426302499585,0,Standard
Cow,4.306973891661164,8.842149876273535,4.581685722232834,3.092951535516125,1026.5106905933771,6.627725418554231,19.86581733987204,-0.5215166810719617,4.756024667634092,0,Low Quality
Cow,3.812210245626019,8.342608950839205,4.809419476234008,3.1892701389305635,1025.4425595021914,6.471246332972818,4.995828745445317,-0.51954329023929,4.72767857693603,0,Standard
Cow,4.217024017434386,8.896966082590149,4.659561469513221,3.0604244214822303,1031.9920886229784,6.705046481911348,1.5041984850505852,-0.5414740000787716,4.584357427190813,0,Standard
Cow,3.814632922875015,8.407595498931803,4.656463759354556,3.6929450265832777,1030.308731312708,6.513654326064334,5.025687639707752,-0.5304870918452197,4.531260331185563,0,Standard
Cow,3.8137080985718974,8.936125381122736,4.919755370397438,3.3070527103943457,1028.8888306581791,6.618301472196804,3.8824850338883565,-0.48715459282776274,4.4812220616301435,0,Standard
Cow,4.096784908626414,9.04757867370222,4.865083269797606,3.1600548984014827,1029.5599372526397,6.984012680740319,7.5671261506473275,-0.4954491365979858,4.2738106233399975,0,Standard
Cow,3.234687902136881,8.453795304494486,4.862701927200128,3.342795982146844,1026.7490219054032,6.585591015041302,0.5657350864791453,-0.5212735266065194,4.415797476939968,0,Standard
Cow,3.3100328669947867,8.989012838773295,4.961095761430866,3.2775343900618337,1033.8915039592337,6.772390998942851,7.157042403682414,-0.529239930436636,3.9921129557413844,0,Standard
Cow,3.775084988303611,8.823834278080948,4.704200768326552,3.2558060800933553,1029.2584423639505,6.4945235362311164,3.8964300953494475,-0.5275993734656348,4.470498111961575,0,Standard
Cow,3.5948675518662303,8.946618047998346,4.836390594258993,3.422833340008685,1029.2187895892098,6.594751726425455,16.48310638883833,-0.5177296405453917,4.203422667854725,0,Low Quality
Cow,4.12569893303811,9.269037894796183,4.637946648681309,3.451501542009461,1030.4515332477974,6.865620095345326,2.091780449945556,-0.5504558513039681,4.168923204835269,0,Standard
Cow,3.6367903697915156,8.626383565199138,4.764833270497689,3.1938997704778944,1029.9620184634734,6.505954941331835,5.006818486725115,-0.5351475307484669,4.553968245346043,0,Standard
Cow,3.4350785194658835,8.473879150692753,4.673971389126463,3.1848363518710636,1029.4477680485584,6.8718672836995385,13.443304877842756,-0.5633716814775518,4.91760068590338,0,Standard
Cow,4.586259507568622,8.433145671112342,4.7193991929985435,3.244989660569671,1027.4190510891094,6.706162790318321,0.5407649883263731,-0.5220155375478944,4.775494981800694,0,Standard
Cow,3.909689479805386,8.455256914510368,4.819031405087383,2.8396157670528828,1029.942936714272,6.5156299836158595,13.841269634193843,-0.5170560812059453,4.028849818913047,0,Standard
Cow,4.027011281875169,8.676869487175768,4.536355863353306,2.996961787560289,1032.7640489929502,6.694861160858328,5.821929417789845,-0.5396637292459875,4.2031115590288985,1,Low Quality
Cow,3.430100725514617,8.802345592444992,5.118477455137092,3.5733748534889047,1031.69084009231,6.745883167444009,0.3512382514555415,-0.49852026473419936,4.782231356396465,0,Standard
Cow,3.7822469101899268,8.783007239799005,4.49879652370006,3.6289935427002566,1032.1863732532788,6.6932714943325795,1.790262082141199,-0.5545153132600469,4.205253781938507,0,Standard
Cow,4.044369035883946,8.948154974710807,4.457162277442453,3.250192792088724,1027.9775686471376,6.364466292016431,6.157954975606562,-0.5592874976041964,4.432610055000892,0,Fermented
Cow,3.5396025690310786,8.703900567563371,4.9316221747000135,3.415311392611153,1027.0207903594828,6.49092942362627,0.34862963697380656,-0.5255109636288006,4.665015629707366,0,Standard
Cow,4.150279207338269,9.136060223147194,4.858332538792587,3.362250030908707,1028.7484261598006,6.562872204667274,4.363408645474819,-0.509058033947757,4.209496663540909,0,Standard
Cow,3.759744524032478,8.620602950028612,4.824823963410431,3.9157761616910474,1029.1114498245774,6.588834985634993,2.122345657556806,-0.4963214461708427,4.531612651843788,0,Standard
Cow,3.883322500082689,9.516050749976884,4.825669101852856,3.5239149822869154,1031.1883830369418,6.693100814632602,4.849980952374174,-0.5391776852573789,4.099792351524538,0,Standard
Cow,3.7593173551082413,8.887700204329501,4.697550645430617,3.2744164817038466,1025.6150707405704,6.626655150139988,0.23410619638977423,-0.5084263833313741,4.319589706814636,0,Standard
Cow,4.740911273803575,8.442852733075114,4.520549125702834,3.1088919118799145,1032.0591006389213,6.399698346193484,10.260564224384563,-0.5307701693900142,4.595934580242761,0,Fermented
Cow,3.9946011101048264,8.378732250581665,4.715160911638746,2.9787107359484852,1028.683984202842,6.657029677650894,18.150971875721705,-0.5334525459988164,4.022101879940499,0,Low Quality
Cow,3.5769156284176398,8.844741724572955,4.5645676576975776,3.3406927271734443,1028.1462378601052,6.6915878617925735,17.349178322458755,-0.5123268012502665,4.63214242138812,0,Low Quality
Cow,4.329017964841276,8.632961164402245,4.89502394668355,3.148729850943139,1026.9757912494797,6.683968567189655,6.9245132848061495,-0.5169535424317316,4.494108660321996,0,Standard
Cow,3.5116625400115913,8.914200148227627,4.670588523699572,3.015549258080465,1025.6902866562684,6.762117108833193,0.6968059941690288,-0.5615278431396851,4.665746986325145,0,Standard
Cow,4.083545438001902,8.841971287372063,4.534900560641498,3.1706854231514945,1030.6463411679238,6.7250883231823355,7.0995286558018,-0.5004691930054821,4.567174240219399,0,Standard
Cow,3.21613195044809,8.678151326202938,4.635722831669401,3.083690399277121,1029.1466359343767,6.668877011884265,0.12447111141255657,-0.502398172917051,4.909242128992153,0,Standard
Cow,3.4687255804406276,8.445961884579479,4.782586290855125,3.6374283270145127,1026.420078200518,6.589475143281202,0.11185973867236931,-0.5425112540301906,4.537567350794372,0,Standard
Cow,4.078744494347649,8.24554583259424,4.587255089439205,3.47632795138989,1026.4098424558729,6.350855859972601,1.9549288510861509,-0.5220839293312518,4.371178337662424,0,Fermented
Cow,4.295386631998165,8.566045514379892,4.535555920886714,3.298405471736676,1028.3284306014198,6.664442732869888,3.353438374608401,-0.5201193962743452,4.536689250909685,0,Standard
Cow,4.068547312475988,8.956919638297041,4.748737442298383,3.595988827778005,1032.3380430505788,6.631153153074466,7.357244612919284,-0.5247865246835219,4.662989408710916,0,Standard
Cow,3.9537406870447036,8.76422812323906,4.748993314221745,3.3154736615295235,1028.4808172972728,6.640736825579306,5.748928634454095,-0.5410061030769084,4.514658021097711,0,Standard
Cow,3.8795585217642845,8.326278366386402,4.598611364925774,3.1277431597343472,1025.9937140937639,6.408487713626953,2.9520749369785424,-0.543432467358761,4.512177507361165,0,Standard
Cow,3.408591203853029,8.751954277755354,4.605792338876336,3.6046248154539313,1028.5085138718282,6.43784151893876,1.598455812792035,-0.530511081419829,4.289402493657973,1,Low Quality
Cow,3.7120623166421165,8.81559521391865,4.7464099874715275,3.4077820087369317,1028.4545528605047,6.757972927999935,29.257643808284897,-0.5065454196148127,4.301129724734715,0,Low Quality
Cow,3.815744491616085,8.43484276913966,4.410383131700535,3.0925507691347085,1023.6062267141168,6.594066726921501,2.777208950550171,-0.5191279969081114,4.079218418460092,0,Standard
Cow,4.4228488904875665,8.746117531783657,4.418507245124689,3.261932264383278,1028.8914102669644,6.702225104605893,3.0018102421227146,-0.5374122866417221,5.024873022956082,0,Standard
Cow,4.137447315827385,8.7174626155338,4.556311155749513,3.1248763493230483,1028.5381309395827,6.604247756419569,0.8933839622727785,-0.5145660257870331,4.126841029382614,1,Low Quality
Cow,3.2947839378549064,8.357108910650812,4.657310569657631,3.0234400538071324,1030.3924127296268,6.604463420924361,7.919083503186542,-0.5869708524126015,4.2921284406612275,0,Standard
Cow,4.129633587757918,8.807336208104484,4.762181513119601,3.485235509506328,1032.6979121898908,6.7407425708963995,5.9156611901828695,-0.507024685992558,4.284477820329241,0,Standard
Cow,3.8459670878334733,8.86823535791047,4.99507124338991,3.6818833280940257,1031.2531300590956,6.522593290767394,1.24724264726588,-0.564794275575562,4.7684773130833324,0,Standard
Cow,3.7292311998776166,9.024915372952583,4.871531924640404,3.0202864852361717,1028.4622226188903,6.614418116541147,0.42986528451189354,-0.5372488188280626,4.4115150965123915,1,Low Quality
Cow,4.244670515536347,9.01614061561047,4.6680122940073145,3.412593847338114,1026.7869481825167,6.530658706694243,5.704979103686202,-0.552393397892523,4.87432262180212,0,Standard
Cow,4.41239980899838,8.286699189612872,4.696196758419463,3.1698714861756345,1034.1467196064998,6.534825565885153,5.313975472115715,-0.5558936295144181,4.297952812726839,0,Standard
Cow,4.372512047646479,8.418652488025462,4.499494127072438,3.2025749232470604,1029.118436868029,6.553624181479703,1.5959292433686985,-0.5067834642524296,4.58369824866714,1,Low Quality
Cow,3.6643129907109446,8.854510580162597,4.6962973728015225,3.181521215152226,1029.027858583826,6.633320065745057,15.065772031925546,-0.5393540240262379,4.249395884022073,0,Low Quality
Cow,3.8763150496595142,8.854135785273662,4.642268272215973,3.1272018460640365,1028.95174982578,6.528187706750478,0.8188214159732543,-0.5230699223653857,5.143544738332016,0,Standard
Cow,4.132505372561425,8.854514305891813,4.764543712067618,3.309704325588965,1029.3961695215357,6.788363418836028,2.831117362517058,-0.5309384115775837,4.143720474291146,0,Standard
Cow,4.390218050848944,9.855819447196415,4.534553811289536,3.1338099767177923,1028.7112791761522,6.465808904667074,14.377842163998274,-0.5204591834555375,4.5929462130681085,0,Standard
Cow,3.808330304861884,8.871267153207949,4.803869302848234,3.3540913651559676,1027.8526759862395,6.571969253375796,2.7212857134677506,-0.5284635621787949,4.69013306427963,0,Standard
